Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%     50%    75%  97.5%  Rhat n.eff
mu.lf[13,4]         -0.409   0.554  -1.516  -0.734  -0.410 -0.077  0.681 1.001  3600
mu.lf[14,4]         -0.487   0.575  -1.645  -0.830  -0.487 -0.150  0.671 1.002  2500
mu.lf[15,4]         -0.525   0.577  -1.671  -0.871  -0.535 -0.195  0.671 1.002  1700
mu.lf[16,4]          0.966   0.575  -0.194   0.614   0.975  1.311  2.124 1.001  4000
mu.lf[17,4]          1.270   0.566   0.116   0.919   1.276  1.623  2.416 1.002  2000
mu.lf[18,4]          2.241   0.583   1.005   1.908   2.254  2.603  3.332 1.001  4000
mu.lf[19,4]          0.419   0.576  -0.750   0.078   0.432  0.759  1.586 1.001  4000
mu.lf[20,4]          0.326   0.575  -0.802  -0.019   0.323  0.665  1.514 1.002  2600
mu.lf[21,4]         -1.294   0.582  -2.467  -1.651  -1.307 -0.956 -0.090 1.001  4000
mu.lf[1,5]          -0.927   0.579  -2.084  -1.278  -0.935 -0.586  0.270 1.001  3100
mu.lf[2,5]          -0.756   0.572  -1.860  -1.113  -0.758 -0.405  0.396 1.001  4000
mu.lf[3,5]          -0.736   0.590  -1.942  -1.081  -0.745 -0.389  0.492 1.002  2600
mu.lf[4,5]          -0.738   0.583  -1.933  -1.081  -0.735 -0.401  0.463 1.001  2800
mu.lf[5,5]          -0.755   0.570  -1.891  -1.104  -0.756 -0.410  0.418 1.001  4000
mu.lf[6,5]          -1.117   0.592  -2.251  -1.481  -1.122 -0.768  0.078 1.001  3500
mu.lf[7,5]          -1.511   0.587  -2.647  -1.873  -1.525 -1.172 -0.239 1.002  1500
mu.lf[8,5]           0.024   0.597  -1.163  -0.309   0.026  0.370  1.255 1.001  4000
mu.lf[9,5]          -0.345   0.578  -1.517  -0.698  -0.352  0.006  0.848 1.000  4000
mu.lf[10,5]         -1.337   0.574  -2.505  -1.674  -1.337 -1.002 -0.171 1.001  4000
mu.lf[11,5]         -0.948   0.587  -2.106  -1.307  -0.948 -0.600  0.272 1.001  4000
mu.lf[12,5]         -0.929   0.578  -2.076  -1.271  -0.939 -0.588  0.293 1.001  4000
mu.lf[13,5]         -0.942   0.584  -2.090  -1.296  -0.945 -0.592  0.266 1.001  4000
mu.lf[14,5]         -0.361   0.572  -1.554  -0.695  -0.365 -0.014  0.819 1.001  4000
mu.lf[15,5]         -0.751   0.586  -1.968  -1.098  -0.747 -0.394  0.422 1.001  2700
mu.lf[16,5]         -0.167   0.585  -1.298  -0.521  -0.157  0.187  0.980 1.001  4000
mu.lf[17,5]         -0.748   0.587  -1.919  -1.102  -0.758 -0.391  0.449 1.001  4000
mu.lf[18,5]         -0.362   0.579  -1.547  -0.703  -0.359 -0.010  0.770 1.002  1400
mu.lf[19,5]         -0.932   0.589  -2.093  -1.294  -0.946 -0.585  0.313 1.001  3400
mu.lf[20,5]         -0.750   0.581  -1.889  -1.094  -0.754 -0.397  0.425 1.001  3600
mu.lf[21,5]         -1.520   0.579  -2.676  -1.877  -1.530 -1.177 -0.335 1.001  4000
mu.ph[1,1]          -0.842   0.537  -1.878  -1.197  -0.846 -0.493  0.207 1.001  3000
mu.ph[2,1]           0.019   0.566  -1.097  -0.335   0.008  0.378  1.147 1.001  4000
mu.ph[3,1]          -0.223   0.553  -1.328  -0.571  -0.223  0.141  0.838 1.002  2400
mu.ph[4,1]          -0.294   0.541  -1.368  -0.636  -0.291  0.051  0.799 1.001  4000
mu.ph[5,1]           0.443   0.466  -0.442   0.132   0.436  0.744  1.379 1.001  4000
mu.ph[6,1]           0.199   0.495  -0.760  -0.123   0.206  0.513  1.185 1.001  4000
mu.ph[7,1]           0.294   0.621  -0.905  -0.106   0.271  0.684  1.550 1.001  4000
mu.ph[8,1]          -0.090   0.502  -1.123  -0.414  -0.087  0.235  0.884 1.000  4000
mu.ph[9,1]          -0.280   0.468  -1.238  -0.582  -0.284  0.031  0.620 1.001  4000
mu.ph[10,1]          0.404   0.511  -0.628   0.078   0.404  0.733  1.405 1.002  2400
mu.ph[11,1]          0.443   0.443  -0.460   0.159   0.454  0.729  1.292 1.001  3200
mu.ph[12,1]          0.504   0.519  -0.567   0.168   0.517  0.846  1.504 1.003  1400
mu.ph[13,1]          0.926   0.516  -0.109   0.590   0.938  1.278  1.926 1.002  1600
mu.ph[14,1]         -1.045   0.495  -2.060  -1.361  -1.037 -0.730 -0.062 1.001  4000
mu.ph[15,1]         -1.416   0.535  -2.509  -1.744  -1.408 -1.072 -0.376 1.001  4000
mu.ph[16,1]         -1.637   0.489  -2.562  -1.966  -1.640 -1.325 -0.640 1.001  4000
mu.ph[17,1]         -2.042   0.535  -3.041  -2.399  -2.048 -1.690 -0.927 1.001  4000
mu.ph[18,1]         -0.058   0.599  -1.248  -0.456  -0.039  0.334  1.112 1.001  3300
mu.ph[19,1]         -0.714   0.542  -1.757  -1.063  -0.718 -0.368  0.360 1.002  2300
mu.ph[20,1]         -0.963   0.458  -1.863  -1.265  -0.968 -0.667 -0.029 1.001  4000
mu.ph[21,1]         -0.813   0.600  -2.000  -1.194  -0.813 -0.442  0.437 1.001  4000
mu.ph[1,2]           0.294   0.438  -0.595   0.021   0.297  0.569  1.156 1.002  2100
mu.ph[2,2]           0.117   0.444  -0.784  -0.168   0.120  0.403  0.998 1.001  4000
mu.ph[3,2]          -0.929   0.446  -1.793  -1.214  -0.934 -0.641 -0.024 1.001  4000
mu.ph[4,2]          -0.773   0.423  -1.607  -1.036  -0.767 -0.506  0.067 1.001  4000
mu.ph[5,2]          -0.883   0.378  -1.635  -1.130  -0.877 -0.640 -0.135 1.002  1600
mu.ph[6,2]          -0.328   0.382  -1.080  -0.575  -0.327 -0.082  0.421 1.001  4000
mu.ph[7,2]          -1.006   0.487  -1.954  -1.323  -1.012 -0.695 -0.036 1.001  4000
mu.ph[8,2]           0.204   0.385  -0.556  -0.046   0.205  0.449  0.945 1.001  2700
