Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%     25%    50%    75%  97.5%  Rhat n.eff
rho.lf[2,5]            0.210   0.176  -0.165   0.099  0.218  0.337  0.523 1.002  1600
rho.lf[3,5]           -0.164   0.181  -0.500  -0.292 -0.171 -0.045  0.206 1.001  4000
rho.lf[4,5]            0.403   0.156   0.061   0.305  0.414  0.513  0.677 1.001  4000
rho.lf[5,5]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[1,1]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[2,1]            0.237   0.252  -0.293   0.069  0.253  0.428  0.659 1.001  3200
rho.ph[3,1]            0.024   0.265  -0.486  -0.161  0.022  0.215  0.522 1.001  4000
rho.ph[4,1]           -0.204   0.265  -0.660  -0.399 -0.218 -0.025  0.343 1.001  3000
rho.ph[1,2]            0.237   0.252  -0.293   0.069  0.253  0.428  0.659 1.001  3200
rho.ph[2,2]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[3,2]            0.362   0.222  -0.125   0.222  0.382  0.529  0.729 1.000  4000
rho.ph[4,2]            0.070   0.253  -0.442  -0.103  0.073  0.246  0.537 1.001  4000
rho.ph[1,3]            0.024   0.265  -0.486  -0.161  0.022  0.215  0.522 1.001  4000
rho.ph[2,3]            0.362   0.222  -0.125   0.222  0.382  0.529  0.729 1.000  4000
rho.ph[3,3]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
rho.ph[4,3]            0.387   0.229  -0.133   0.253  0.412  0.555  0.756 1.001  4000
rho.ph[1,4]           -0.204   0.265  -0.660  -0.399 -0.218 -0.025  0.343 1.001  3000
rho.ph[2,4]            0.070   0.253  -0.442  -0.103  0.073  0.246  0.537 1.001  4000
rho.ph[3,4]            0.387   0.229  -0.133   0.253  0.412  0.555  0.756 1.001  4000
rho.ph[4,4]            1.000   0.000   1.000   1.000  1.000  1.000  1.000 1.000     1
sigmasq.indiv.cond     0.698   0.439   0.233   0.422  0.596  0.847  1.754 1.001  2800
sigmasq.indiv.fluor    0.906   0.605   0.270   0.524  0.744  1.097  2.529 1.002  1900
sigmasq.indiv.lftemp   0.984   0.777   0.258   0.511  0.767  1.181  3.085 1.002  1900
sigmasq.indiv.photo   11.048 127.405   0.276   0.728  1.466  3.482 35.903 1.001  4000
sigmasq.indiv.trans    0.558   0.352   0.186   0.334  0.463  0.673  1.452 1.002  1900
sigmasq.photo          0.235   0.087   0.126   0.178  0.217  0.271  0.452 1.001  4000
deviance               4.244  21.050 -35.277 -10.094  3.902 18.067 46.916 1.000  4000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 221.8 and DIC = 226.0
DIC is an estimate of expected predictive error (lower deviance is better).
