Path analysis results at De Hoop 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.ph[26,2]           -0.525   0.479 -1.450 -0.836 -0.530 -0.218  0.418 1.001  4000
mu.ph[1,3]            -0.408   0.366 -1.162 -0.641 -0.403 -0.158  0.270 1.001  4000
mu.ph[2,3]            -0.555   0.391 -1.341 -0.805 -0.555 -0.309  0.200 1.001  3200
mu.ph[3,3]             1.312   0.313  0.694  1.107  1.319  1.517  1.945 1.003  4000
mu.ph[4,3]             1.527   0.308  0.922  1.317  1.529  1.730  2.130 1.001  4000
mu.ph[5,3]             0.548   0.349 -0.158  0.317  0.558  0.781  1.219 1.001  4000
mu.ph[6,3]             1.206   0.350  0.492  0.980  1.210  1.439  1.866 1.001  3300
mu.ph[7,3]            -0.196   0.258 -0.687 -0.365 -0.202 -0.031  0.319 1.001  4000
mu.ph[8,3]             0.157   0.264 -0.362 -0.017  0.150  0.333  0.694 1.001  4000
mu.ph[9,3]             0.566   0.242  0.074  0.406  0.573  0.726  1.034 1.001  4000
mu.ph[10,3]            0.171   0.264 -0.361  0.002  0.179  0.348  0.676 1.001  4000
mu.ph[11,3]           -1.082   0.372 -1.804 -1.329 -1.083 -0.837 -0.325 1.001  4000
mu.ph[12,3]           -1.283   0.389 -2.058 -1.531 -1.286 -1.028 -0.535 1.001  3500
mu.ph[13,3]            1.642   0.362  0.915  1.410  1.648  1.878  2.311 1.001  2900
mu.ph[14,3]            0.727   0.306  0.095  0.533  0.730  0.935  1.300 1.001  2800
mu.ph[15,3]           -1.239   0.345 -1.921 -1.465 -1.241 -1.008 -0.533 1.001  4000
mu.ph[16,3]           -1.868   0.337 -2.546 -2.078 -1.868 -1.665 -1.206 1.001  3700
mu.ph[17,3]            0.695   0.343 -0.018  0.480  0.695  0.923  1.355 1.000  4000
mu.ph[18,3]            1.116   0.344  0.439  0.892  1.116  1.337  1.799 1.001  4000
