Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
mu.ph[16,3]           -1.011   0.334  -1.640 -1.235 -1.018 -0.790 -0.331 1.001  4000
mu.ph[17,3]           -0.826   0.345  -1.497 -1.055 -0.832 -0.606 -0.126 1.001  4000
mu.ph[18,3]           -0.913   0.332  -1.550 -1.134 -0.916 -0.696 -0.251 1.001  4000
mu.ph[19,3]            1.036   0.371   0.307  0.800  1.028  1.279  1.774 1.001  4000
mu.ph[20,3]           -0.653   0.357  -1.364 -0.893 -0.656 -0.421  0.046 1.001  4000
mu.ph[21,3]            0.295   0.305  -0.301  0.104  0.292  0.489  0.890 1.002  2900
mu.ph[22,3]            0.201   0.324  -0.449 -0.013  0.198  0.417  0.835 1.001  3000
mu.ph[23,3]           -0.481   0.341  -1.168 -0.704 -0.478 -0.257  0.199 1.001  4000
mu.ph[24,3]            0.479   0.339  -0.175  0.261  0.473  0.703  1.159 1.001  3600
mu.ph[25,3]           -0.774   0.328  -1.369 -1.003 -0.786 -0.559 -0.112 1.001  4000
mu.ph[26,3]           -1.478   0.320  -2.064 -1.694 -1.494 -1.273 -0.829 1.001  3700
mu.ph[1,4]            -0.386   0.363  -1.145 -0.614 -0.381 -0.149  0.329 1.002  1700
mu.ph[2,4]            -0.569   0.383  -1.357 -0.813 -0.566 -0.315  0.189 1.002  2600
mu.ph[3,4]             1.268   0.305   0.663  1.067  1.274  1.465  1.871 1.002  2800
mu.ph[4,4]             1.514   0.303   0.913  1.319  1.518  1.701  2.109 1.002  2100
mu.ph[5,4]             0.582   0.349  -0.103  0.353  0.586  0.814  1.254 1.001  4000
mu.ph[6,4]             1.206   0.333   0.521  0.986  1.208  1.428  1.856 1.002  2300
mu.ph[7,4]            -0.200   0.248  -0.656 -0.369 -0.209 -0.042  0.313 1.002  2300
mu.ph[8,4]             0.127   0.261  -0.355 -0.053  0.119  0.293  0.666 1.001  4000
mu.ph[9,4]             0.586   0.239   0.116  0.431  0.584  0.741  1.059 1.001  4000
mu.ph[10,4]            0.223   0.267  -0.308  0.045  0.226  0.404  0.753 1.001  4000
mu.ph[11,4]           -1.087   0.358  -1.786 -1.319 -1.096 -0.860 -0.349 1.001  4000
mu.ph[12,4]           -1.323   0.380  -2.064 -1.573 -1.329 -1.080 -0.557 1.000  4000
mu.ph[13,4]            1.680   0.355   0.950  1.455  1.690  1.914  2.346 1.001  4000
mu.ph[14,4]            0.735   0.294   0.126  0.548  0.741  0.925  1.297 1.001  4000
mu.ph[15,4]           -1.191   0.337  -1.850 -1.415 -1.196 -0.965 -0.527 1.001  3300
mu.ph[16,4]           -1.871   0.324  -2.497 -2.083 -1.874 -1.666 -1.213 1.001  4000
mu.ph[17,4]            0.739   0.332   0.087  0.527  0.740  0.947  1.385 1.001  4000
mu.ph[18,4]            1.089   0.330   0.442  0.876  1.088  1.305  1.740 1.001  4000
mu.ph[19,4]            0.152   0.371  -0.546 -0.092  0.146  0.391  0.921 1.001  4000
mu.ph[20,4]           -1.084   0.348  -1.763 -1.309 -1.089 -0.869 -0.369 1.001  3800
mu.ph[21,4]           -0.498   0.315  -1.103 -0.704 -0.504 -0.300  0.144 1.001  4000
