Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
phx.lf[5,3]           -0.101   0.116 -0.354 -0.168 -0.095 -0.025   0.111 1.000  4000
phx.lf[1,4]            0.197   0.173 -0.109  0.088  0.183  0.290   0.586 1.001  4000
phx.lf[2,4]           -0.026   0.098 -0.233 -0.080 -0.024  0.034   0.169 1.001  3500
phx.lf[3,4]           -0.064   0.117 -0.309 -0.131 -0.059  0.008   0.161 1.001  4000
phx.lf[4,4]            0.723   0.217  0.420  0.573  0.686  0.827   1.257 1.001  4000
phx.lf[5,4]            0.293   0.156  0.043  0.190  0.274  0.373   0.664 1.000  4000
phx.lf[1,5]            0.204   0.168 -0.087  0.096  0.191  0.291   0.586 1.001  4000
phx.lf[2,5]            0.100   0.096 -0.071  0.040  0.093  0.152   0.314 1.001  4000
phx.lf[3,5]           -0.101   0.116 -0.354 -0.168 -0.095 -0.025   0.111 1.000  4000
phx.lf[4,5]            0.293   0.156  0.043  0.190  0.274  0.373   0.664 1.000  4000
phx.lf[5,5]            0.698   0.206  0.403  0.553  0.664  0.800   1.201 1.001  3800
phx.ph[1,1]            0.209   0.099  0.080  0.140  0.189  0.253   0.460 1.002  1500
phx.ph[2,1]            0.078   0.098 -0.091  0.018  0.067  0.129   0.304 1.000  4000
phx.ph[3,1]            0.013   0.063 -0.112 -0.022  0.011  0.045   0.145 1.002  1900
phx.ph[1,2]            0.078   0.098 -0.091  0.018  0.067  0.129   0.304 1.000  4000
phx.ph[2,2]            0.480   0.204  0.226  0.342  0.438  0.564   0.987 1.001  4000
phx.ph[3,2]            0.117   0.098 -0.039  0.056  0.103  0.164   0.345 1.002  2300
phx.ph[1,3]            0.013   0.063 -0.112 -0.022  0.011  0.045   0.145 1.002  1900
phx.ph[2,3]            0.117   0.098 -0.039  0.056  0.103  0.164   0.345 1.002  2300
phx.ph[3,3]            0.210   0.088  0.098  0.150  0.190  0.250   0.420 1.001  4000
rho.lf[1,1]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[2,1]           -0.089   0.185 -0.442 -0.217 -0.094  0.035   0.291 1.001  3600
rho.lf[3,1]           -0.415   0.156 -0.677 -0.528 -0.428 -0.315  -0.073 1.001  3800
rho.lf[4,1]            0.236   0.178 -0.137  0.124  0.242  0.363   0.561 1.001  3700
rho.lf[5,1]            0.248   0.174 -0.110  0.134  0.258  0.369   0.568 1.001  4000
rho.lf[1,2]           -0.089   0.185 -0.442 -0.217 -0.094  0.035   0.291 1.001  3600
rho.lf[2,2]            1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[3,2]            0.042   0.188 -0.332 -0.081  0.043  0.171   0.399 1.002  1900
