Path analysis results at De Hoop 

Inference for Bugs model at "physiology-path-analysis-with-wue.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
rho.lf[2,1]         -0.094   0.182 -0.438 -0.223 -0.100  0.028   0.263 1.002  2000
rho.lf[3,1]         -0.417   0.156 -0.686 -0.529 -0.429 -0.319  -0.073 1.001  4000
rho.lf[4,1]          0.237   0.175 -0.129  0.122  0.245  0.361   0.553 1.001  4000
rho.lf[5,1]          0.246   0.177 -0.120  0.127  0.257  0.370   0.574 1.002  2500
rho.lf[1,2]         -0.094   0.182 -0.438 -0.223 -0.100  0.028   0.263 1.002  2000
rho.lf[2,2]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[3,2]          0.048   0.185 -0.320 -0.078  0.048  0.175   0.400 1.002  1400
rho.lf[4,2]         -0.058   0.184 -0.413 -0.187 -0.061  0.069   0.302 1.001  4000
rho.lf[5,2]          0.208   0.179 -0.162  0.090  0.218  0.332   0.527 1.001  4000
rho.lf[1,3]         -0.417   0.156 -0.686 -0.529 -0.429 -0.319  -0.073 1.001  4000
rho.lf[2,3]          0.048   0.185 -0.320 -0.078  0.048  0.175   0.400 1.002  1400
rho.lf[3,3]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[4,3]         -0.116   0.183 -0.466 -0.243 -0.117  0.008   0.248 1.001  4000
rho.lf[5,3]         -0.170   0.181 -0.505 -0.298 -0.176 -0.047   0.195 1.003  1100
rho.lf[1,4]          0.237   0.175 -0.129  0.122  0.245  0.361   0.553 1.001  4000
rho.lf[2,4]         -0.058   0.184 -0.413 -0.187 -0.061  0.069   0.302 1.001  4000
rho.lf[3,4]         -0.116   0.183 -0.466 -0.243 -0.117  0.008   0.248 1.001  4000
rho.lf[4,4]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.lf[5,4]          0.404   0.155  0.078  0.307  0.415  0.513   0.681 1.001  4000
rho.lf[1,5]          0.246   0.177 -0.120  0.127  0.257  0.370   0.574 1.002  2500
rho.lf[2,5]          0.208   0.179 -0.162  0.090  0.218  0.332   0.527 1.001  4000
rho.lf[3,5]         -0.170   0.181 -0.505 -0.298 -0.176 -0.047   0.195 1.003  1100
rho.lf[4,5]          0.404   0.155  0.078  0.307  0.415  0.513   0.681 1.001  4000
rho.lf[5,5]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[1,1]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[2,1]          0.239   0.252 -0.311  0.079  0.256  0.421   0.674 1.002  2200
rho.ph[3,1]          0.054   0.261 -0.451 -0.125  0.054  0.244   0.544 1.001  4000
rho.ph[1,2]          0.239   0.252 -0.311  0.079  0.256  0.421   0.674 1.002  2200
rho.ph[2,2]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
rho.ph[3,2]          0.369   0.222 -0.113  0.230  0.390  0.532   0.735 1.001  4000
rho.ph[1,3]          0.054   0.261 -0.451 -0.125  0.054  0.244   0.544 1.001  4000
rho.ph[2,3]          0.369   0.222 -0.113  0.230  0.390  0.532   0.735 1.001  4000
rho.ph[3,3]          1.000   0.000  1.000  1.000  1.000  1.000   1.000 1.000     1
sigmasq.cond         0.540   0.168  0.304  0.424  0.512  0.621   0.936 1.002  1500
sigmasq.fluor        0.868   0.560  0.277  0.517  0.729  1.049   2.297 1.002  1400
sigmasq.lftemp       1.070   0.769  0.286  0.580  0.857  1.309   3.208 1.003  1000
sigmasq.photo        0.226   0.083  0.120  0.172  0.211  0.261   0.409 1.001  4000
sigmasq.trans        0.551   0.338  0.192  0.335  0.468  0.664   1.440 1.000  4000
sigmasq.wue          0.088   0.050  0.048  0.068  0.083  0.100   0.150 1.001  4000
deviance            74.558  21.212 35.928 60.698 73.825 87.923 115.080 1.002  2300

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 224.9 and DIC = 299.4
DIC is an estimate of expected predictive error (lower deviance is better).
