Path analysis results at De Hoop 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
rho.ph[3,3]          1.000   0.000  1.000  1.000  1.000  1.000  1.000 1.000     1
sigmasq.fluor        0.895   0.569  0.274  0.524  0.751  1.085  2.394 1.001  3200
sigmasq.lftemp       1.076   0.774  0.297  0.577  0.866  1.326  3.026 1.002  1500
sigmasq.photo        0.255   0.089  0.139  0.195  0.239  0.294  0.464 1.001  4000
sigmasq.trans        0.554   0.369  0.191  0.340  0.464  0.656  1.463 1.001  3100
deviance            38.126  18.200  4.843 25.853 37.564 49.552 74.606 1.002  2600

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 165.5 and DIC = 203.7
DIC is an estimate of expected predictive error (lower deviance is better).
